values,id
0.48,Union County
-1.82,Upson County
-0.15,Walker County
3.19,Walton County
-0.37,Ware County
0.01,Warren County
1.67,Washington County
-0.12,Wayne County
-0.84,White County
-5.35,Whitfield County
-15.99,Wilcox County
-10.32,Wilkes County
-4.38,Wilkinson County
-4.99,Worth County
-16.28,Hawaii County
-15.26,Honolulu County
-18.92,Kauai County
-16.14,Maui County
3.65,Ada County
-0.08,Bannock County
-38.17,Bear Lake County
-4.07,Benewah County
0.73,Bingham County
-21,Blaine County
-40.29,Boise County
-8.12,Bonner County
4.75,Bonneville County
1.44,Boundary County
7.55,Canyon County
-16.1,Caribou County
0.68,Cassia County
-20.05,Clearwater County
4.89,Elmore County
-0.94,Franklin County
-1.99,Fremont County
1.52,Gem County
1.36,Gooding County
-6.14,Idaho County
0.72,Jefferson County
-1.93,Jerome County
9.25,Kootenai County
-7.78,Latah County
-10.29,Lemhi County
-0.85,Lincoln County
-0.18,Madison County
6.38,Minidoka County
-14.27,Nez Perce County
1.27,Owyhee County
-1.06,Payette County
-12.93,Power County
0.08,Shoshone County
-24.16,Teton County
4.31,Twin Falls County
-25.52,Valley County
1.67,Washington County
-0.29,Adams County
1.6,Alexander County
-6.72,Bond County
-0.18,Boone County
-5.08,Bureau County
0.42,Carroll County
-3.64,Cass County
-1.24,Champaign County
-6.88,Christian County
-0.27,Clark County
5.57,Clay County
-2.18,Clinton County
-2.18,Coles County
-4.41,Cook County
-2.3,Crawford County
0.14,Cumberland County
-9.26,De Witt County
-0.64,DeKalb County
-3.64,Douglas County
-8.8,DuPage County
-7.16,Edgar County
-14.14,Edwards County
-0.86,Effingham County
2.74,Fayette County
-3.38,Ford County
-0.94,Franklin County
-7.68,Fulton County
1.24,Greene County
-2.66,Grundy County
2.02,Hamilton County
-2.93,Hancock County
3.67,Henderson County
2.19,Henry County
-4.13,Iroquois County
-0.4,Jackson County
5.53,Jasper County
0.72,Jefferson County
-6.77,Jersey County
-6.06,Jo Daviess County
4.29,Johnson County
-0.65,Kane County
-3.38,Kankakee County
-6.32,Kendall County
0.08,Knox County
-4.2,Lake County
-4.72,LaSalle County
-8.08,Lawrence County
-6.25,Lee County
-2.08,Livingston County
1.79,Logan County
0.24,Macon County
-1.94,Macoupin County
-0.18,Madison County
1.29,Marion County
5.75,Marshall County
4.18,Mason County
-6.3,Massac County
-8.75,McDonough County
-3.83,McHenry County
-7.18,McLean County
-38.82,Menard County
-5.84,Mercer County
-3.3,Monroe County
0.14,Montgomery County
2.39,Morgan County
-20.5,Moultrie County
-0.67,Ogle County
-3.48,Peoria County
-6.48,Perry County
-23.33,Piatt County
-9.02,Pike County
-0.25,Pulaski County
0.45,Randolph County
-3.69,Richland County
-5.7,Rock Island County
-4.53,Saline County
-3.9,Sangamon County
-5.21,Schuyler County
2.11,Shelby County
0.24,St. Clair County
4.9,Stark County
-2.73,Stephenson County
